,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,22610,121450,Female,Loyal Customer,22,Business travel,Business,3873,4,1,1,1,4,4,4,4,1,4,4,1,4,4,0,0.0,neutral or dissatisfied
1,7157,33343,Female,Loyal Customer,42,Business travel,Eco,2399,5,2,2,2,4,4,3,5,5,5,5,3,5,1,2,0.0,satisfied
2,7364,79045,Male,Loyal Customer,55,Business travel,Business,2797,0,5,0,3,2,4,5,3,3,3,3,4,3,3,0,0.0,satisfied
3,18933,57373,Male,Loyal Customer,27,Personal Travel,Eco,414,4,3,4,1,5,4,1,5,3,2,3,5,1,5,0,12.0,neutral or dissatisfied
4,9274,23740,Male,Loyal Customer,29,Business travel,Business,3884,4,4,4,4,5,5,5,5,2,2,1,4,2,5,0,0.0,satisfied
5,24624,57022,Female,Loyal Customer,53,Personal Travel,Eco,2565,5,1,5,3,5,2,2,3,5,4,4,2,4,2,0,0.0,satisfied
6,3204,19723,Female,Loyal Customer,34,Personal Travel,Eco,409,3,4,3,1,4,3,4,4,5,2,3,5,5,4,0,0.0,neutral or dissatisfied
7,15223,35626,Female,Loyal Customer,47,Personal Travel,Eco Plus,1041,3,5,3,3,5,4,4,3,3,3,3,3,3,4,0,8.0,neutral or dissatisfied
8,10209,50192,Female,disloyal Customer,40,Business travel,Business,156,3,3,3,3,3,3,3,3,3,3,5,4,5,3,8,2.0,neutral or dissatisfied
9,11453,124614,Female,Loyal Customer,42,Business travel,Business,1671,3,3,4,3,3,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
10,11924,12161,Female,disloyal Customer,30,Business travel,Eco,986,3,2,2,1,3,2,3,3,5,5,5,4,5,3,0,0.0,neutral or dissatisfied
