,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,121450,Female,Loyal Customer,22,Business travel,Business,3873,4,1,1,1,4,4,4,4,1,4,4,1,4,4,0,0.0,neutral or dissatisfied
1,33343,Female,Loyal Customer,42,Business travel,Eco,2399,5,2,2,2,4,4,3,5,5,5,5,3,5,1,2,0.0,satisfied
2,79045,Male,Loyal Customer,55,Business travel,Business,2797,0,5,0,3,2,4,5,3,3,3,3,4,3,3,0,0.0,satisfied
3,57373,Male,Loyal Customer,27,Personal Travel,Eco,414,4,3,4,1,5,4,1,5,3,2,3,5,1,5,0,12.0,neutral or dissatisfied
4,23740,Male,Loyal Customer,29,Business travel,Business,3884,4,4,4,4,5,5,5,5,2,2,1,4,2,5,0,0.0,satisfied
5,57022,Female,Loyal Customer,53,Personal Travel,Eco,2565,5,1,5,3,5,2,2,3,5,4,4,2,4,2,0,0.0,satisfied
6,19723,Female,Loyal Customer,34,Personal Travel,Eco,409,3,4,3,1,4,3,4,4,5,2,3,5,5,4,0,0.0,neutral or dissatisfied
7,35626,Female,Loyal Customer,47,Personal Travel,Eco Plus,1041,3,5,3,3,5,4,4,3,3,3,3,3,3,4,0,8.0,neutral or dissatisfied
8,50192,Female,disloyal Customer,40,Business travel,Business,156,3,3,3,3,3,3,3,3,3,3,5,4,5,3,8,2.0,neutral or dissatisfied
9,124614,Female,Loyal Customer,42,Business travel,Business,1671,3,3,4,3,3,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
10,12161,Female,disloyal Customer,30,Business travel,Eco,986,3,2,2,1,3,2,3,3,5,5,5,4,5,3,0,0.0,neutral or dissatisfied
11,103014,Female,disloyal Customer,37,Business travel,Business,460,3,3,3,1,3,3,3,3,4,5,4,5,4,3,42,71.0,neutral or dissatisfied
12,70084,Male,Loyal Customer,53,Business travel,Business,2390,4,4,4,4,2,4,4,5,5,5,5,4,5,5,0,30.0,satisfied
13,65125,Female,Loyal Customer,39,Personal Travel,Eco,190,4,2,4,3,5,4,5,5,1,2,3,3,3,5,54,48.0,neutral or dissatisfied
14,102295,Female,disloyal Customer,44,Business travel,Business,223,3,3,3,3,3,3,3,3,4,3,5,3,4,3,0,0.0,neutral or dissatisfied
15,126681,Male,disloyal Customer,39,Business travel,Business,2521,3,3,3,4,2,3,2,2,3,3,4,4,4,2,3,0.0,neutral or dissatisfied
16,87608,Male,disloyal Customer,23,Business travel,Eco,591,1,0,0,3,2,0,2,2,4,3,4,3,4,2,22,27.0,neutral or dissatisfied
17,10380,Female,Loyal Customer,46,Business travel,Business,1998,4,4,4,4,4,5,5,4,4,4,4,4,4,5,18,23.0,satisfied
18,59437,Female,Loyal Customer,52,Business travel,Business,1799,5,5,5,5,3,5,4,5,5,5,5,3,5,5,0,20.0,satisfied
