,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,19365,7485,Male,Loyal Customer,52,Business travel,Business,925,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0.0,satisfied
1,24819,635,Male,disloyal Customer,55,Business travel,Business,158,5,5,5,3,3,5,3,3,4,5,5,4,5,3,1,0.0,satisfied
2,21187,23302,Male,Loyal Customer,52,Business travel,Business,2053,4,4,4,4,2,1,5,4,4,4,4,4,4,2,28,20.0,satisfied
3,5771,55996,Male,disloyal Customer,22,Business travel,Eco,2586,4,4,4,1,4,5,5,3,5,5,4,5,3,5,177,225.0,satisfied
4,8828,15836,Male,Loyal Customer,16,Personal Travel,Eco,1148,1,5,1,1,5,1,5,5,3,4,5,4,5,5,0,0.0,neutral or dissatisfied
5,4898,23914,Female,disloyal Customer,43,Business travel,Eco,189,4,3,5,3,1,5,1,1,3,5,3,3,4,1,12,20.0,neutral or dissatisfied
6,24121,51989,Male,Loyal Customer,35,Personal Travel,Eco Plus,347,3,4,2,3,1,2,1,1,3,3,2,2,5,1,0,0.0,neutral or dissatisfied
7,4404,5448,Male,Loyal Customer,24,Business travel,Business,1809,3,3,3,3,3,3,3,3,1,3,4,2,3,3,0,0.0,neutral or dissatisfied
8,14012,99181,Female,Loyal Customer,37,Business travel,Business,462,2,5,5,5,2,4,3,2,2,2,2,4,2,4,10,7.0,neutral or dissatisfied
9,24874,47968,Male,Loyal Customer,35,Personal Travel,Eco,462,1,4,1,3,5,1,5,5,4,5,3,2,5,5,0,0.0,neutral or dissatisfied
10,8,27508,Male,Loyal Customer,47,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,satisfied
11,25447,119344,Male,Loyal Customer,56,Business travel,Business,214,3,1,3,3,2,5,5,4,4,4,4,5,4,4,0,55.0,satisfied
12,21560,74022,Female,disloyal Customer,16,Business travel,Eco,1333,5,5,5,1,3,5,3,3,3,4,4,3,5,3,0,0.0,satisfied
13,24363,122904,Female,Loyal Customer,53,Business travel,Business,2721,3,5,5,5,4,4,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
14,10913,106042,Male,Loyal Customer,31,Business travel,Business,1862,4,4,4,4,4,4,4,4,3,4,4,4,5,4,10,9.0,satisfied
15,4550,45931,Female,Loyal Customer,16,Personal Travel,Eco,809,2,4,2,3,4,2,4,4,4,1,4,1,4,4,0,0.0,neutral or dissatisfied
16,5080,37465,Female,Loyal Customer,39,Business travel,Business,1076,2,2,2,2,3,3,2,4,4,4,4,5,4,2,0,0.0,satisfied
17,8084,88618,Male,Loyal Customer,47,Personal Travel,Eco,404,1,1,1,1,4,1,4,4,4,3,2,2,2,4,0,0.0,neutral or dissatisfied
18,1161,93139,Female,Loyal Customer,29,Business travel,Business,1791,3,3,3,3,5,5,5,5,5,4,5,5,4,5,9,0.0,satisfied
19,6204,66814,Female,Loyal Customer,29,Business travel,Business,731,2,2,2,2,4,4,4,4,5,3,5,4,5,4,0,0.0,satisfied
20,19936,45490,Female,Loyal Customer,70,Personal Travel,Eco,522,4,3,5,1,3,1,2,2,2,5,2,4,2,4,0,0.0,neutral or dissatisfied
21,14319,126170,Female,Loyal Customer,25,Business travel,Business,3866,1,3,3,3,1,1,1,1,1,2,3,2,3,1,0,1.0,neutral or dissatisfied
22,5232,66235,Male,Loyal Customer,36,Business travel,Business,2836,3,3,3,3,2,5,3,5,5,5,5,4,5,4,1,6.0,satisfied
23,5442,104221,Male,disloyal Customer,37,Business travel,Eco,680,4,3,3,3,5,3,5,5,2,1,3,1,4,5,0,0.0,neutral or dissatisfied
24,11581,81953,Female,Loyal Customer,57,Business travel,Business,1532,1,1,1,1,5,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
25,16089,76357,Female,Loyal Customer,32,Personal Travel,Eco,1851,3,1,3,2,4,3,4,4,4,5,3,4,2,4,1,0.0,neutral or dissatisfied
26,18792,51859,Male,Loyal Customer,37,Business travel,Eco Plus,438,2,5,4,5,2,2,2,2,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
27,15834,19089,Male,Loyal Customer,31,Business travel,Eco,296,0,0,0,2,5,0,5,5,3,1,1,3,2,5,0,0.0,satisfied
28,15419,63574,Male,Loyal Customer,16,Personal Travel,Eco Plus,1737,3,3,3,4,1,3,1,1,4,2,4,2,3,1,0,0.0,neutral or dissatisfied
29,8818,42815,Female,Loyal Customer,27,Personal Travel,Eco,896,2,5,1,5,1,1,1,1,4,3,4,4,4,1,0,0.0,neutral or dissatisfied
30,17531,112518,Male,Loyal Customer,12,Personal Travel,Eco,967,2,4,1,2,1,3,1,4,3,5,4,1,4,1,131,134.0,neutral or dissatisfied
31,14261,31872,Male,Loyal Customer,46,Business travel,Business,4983,1,1,1,1,4,4,4,1,3,5,5,4,3,4,0,0.0,satisfied
32,24696,26789,Male,disloyal Customer,22,Business travel,Eco,226,4,0,4,1,3,4,3,3,2,5,4,3,5,3,0,0.0,satisfied
33,416,15197,Male,disloyal Customer,19,Business travel,Eco,461,3,3,3,4,3,5,4,4,5,4,4,4,4,4,141,121.0,neutral or dissatisfied
34,9422,5646,Male,Loyal Customer,57,Personal Travel,Business,147,3,5,3,5,4,5,4,2,2,3,2,2,2,1,14,7.0,neutral or dissatisfied
35,8875,116080,Female,Loyal Customer,33,Personal Travel,Eco,296,1,4,1,3,5,1,5,5,3,4,4,3,5,5,20,19.0,neutral or dissatisfied
36,17088,45035,Female,Loyal Customer,35,Business travel,Business,837,1,3,3,3,1,4,4,1,1,1,1,3,1,3,32,47.0,neutral or dissatisfied
37,13412,119761,Female,Loyal Customer,50,Personal Travel,Eco Plus,1303,1,4,2,2,2,3,5,4,4,2,3,4,4,3,10,0.0,neutral or dissatisfied
38,5363,75690,Male,Loyal Customer,54,Business travel,Business,2409,1,1,1,1,2,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
39,2984,122486,Male,Loyal Customer,19,Personal Travel,Eco,808,2,3,2,5,2,2,2,2,2,4,3,4,3,2,0,0.0,neutral or dissatisfied
40,3113,66158,Female,Loyal Customer,27,Business travel,Business,550,1,1,3,1,3,3,3,3,4,2,4,5,4,3,0,0.0,satisfied
41,4020,47362,Male,Loyal Customer,59,Business travel,Eco,599,3,2,2,2,3,3,3,3,1,4,3,4,3,3,0,0.0,neutral or dissatisfied
42,7754,114325,Male,Loyal Customer,58,Personal Travel,Eco,948,4,2,4,4,2,4,2,2,4,2,2,1,3,2,0,0.0,neutral or dissatisfied
43,12304,38503,Male,Loyal Customer,32,Business travel,Business,2586,5,5,5,5,4,4,4,4,4,4,4,5,1,4,0,0.0,satisfied
44,21077,43611,Female,Loyal Customer,60,Business travel,Business,190,2,2,2,2,2,4,1,5,5,5,3,2,5,4,0,0.0,satisfied
45,12476,9462,Male,Loyal Customer,68,Personal Travel,Eco,362,2,4,2,3,1,2,1,1,3,4,5,3,4,1,24,30.0,neutral or dissatisfied
46,796,51948,Male,disloyal Customer,30,Business travel,Business,347,3,3,3,3,4,3,4,4,4,1,3,1,3,4,0,0.0,neutral or dissatisfied
47,19768,76301,Female,Loyal Customer,24,Business travel,Business,2182,2,2,2,2,3,4,3,3,5,5,4,3,4,3,2,0.0,satisfied
48,6099,14299,Female,Loyal Customer,42,Business travel,Business,3923,1,1,1,1,4,3,3,2,2,2,2,3,2,1,0,1.0,satisfied
49,11352,36834,Male,Loyal Customer,57,Business travel,Business,2640,3,1,4,4,3,3,3,3,3,3,3,4,3,3,0,14.0,neutral or dissatisfied
50,18327,120154,Female,disloyal Customer,17,Business travel,Eco,1091,5,5,5,2,5,3,3,5,2,5,4,3,3,3,0,7.0,satisfied
51,11386,70007,Male,Loyal Customer,33,Personal Travel,Eco,236,1,4,1,1,3,1,3,3,5,3,4,4,5,3,0,11.0,neutral or dissatisfied
52,18262,5461,Male,Loyal Customer,47,Personal Travel,Eco,265,2,3,2,3,2,2,2,2,1,2,3,4,2,2,0,0.0,neutral or dissatisfied
53,20067,22536,Male,Loyal Customer,28,Personal Travel,Eco Plus,143,3,5,3,2,2,3,2,2,4,2,5,3,1,2,46,36.0,neutral or dissatisfied
54,6628,77799,Female,Loyal Customer,52,Personal Travel,Eco,731,1,5,1,2,4,3,4,4,4,1,4,2,4,2,0,0.0,neutral or dissatisfied
